gas,source,licence,reference,doi
hfc227ea,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
hfc23,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc236fa,"Velders et al., 2022",Other (Open),"Velders, G. J. M., Daniel, J. S., ... Weiss, R. F., and Young, D.: Projections of hydrofluorocarbon (HFC) emissions and the resulting global warming based on recent trends in observed abundances and current policies, Atmos. Chem. Phys., 22, 6087-6101, https://doi.org/10.5194/acp-22-6087-2022, 2022.",https://doi.org/10.5194/acp-22-6087-2022
hfc236fa,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc236fa,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc236fa,NOAA HATS,"Free for scientific use, offer co-authorship. See https://gml.noaa.gov/hats/hats_datause.html",https://gml.noaa.gov/hats/,https://gml.noaa.gov/hats/
hfc245fa,"Velders et al., 2022",Other (Open),"Velders, G. J. M., Daniel, J. S., ... Weiss, R. F., and Young, D.: Projections of hydrofluorocarbon (HFC) emissions and the resulting global warming based on recent trends in observed abundances and current policies, Atmos. Chem. Phys., 22, 6087-6101, https://doi.org/10.5194/acp-22-6087-2022, 2022.",https://doi.org/10.5194/acp-22-6087-2022
hfc245fa,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc245fa,AGAGE gc-ms,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
hfc32,"Velders et al., 2022",Other (Open),"Velders, G. J. M., Daniel, J. S., ... Weiss, R. F., and Young, D.: Projections of hydrofluorocarbon (HFC) emissions and the resulting global warming based on recent trends in observed abundances and current policies, Atmos. Chem. Phys., 22, 6087-6101, https://doi.org/10.5194/acp-22-6087-2022, 2022.",https://doi.org/10.5194/acp-22-6087-2022
hfc32,AGAGE gc-ms-medusa,"Free for scientific use, offer co-authorship. See https://www-air.larc.nasa.gov/missions/agage/data/policy","Prinn et al., Earth Syst. Sci. Data 2018",https://doi.org/10.5194/essd-10-985-2018
